Source name,URL / DOI,Type,Canonical status,Relevant LSC content,Notes
LSC-Research GitHub repository,https://github.com/luciferprosun/LSC-Research,repo,canonical,"Authority scope, current LSC_core corpus, framework baselines, 6.3.0 theory, data reports.",Primary authority root; excludes AI-safety/runtime framing by policy.
LSC-Research/AUTHORITY_SCOPE.md,local:LSC-Research/AUTHORITY_SCOPE.md,scope document,canonical,"Defines neutrino phenomenology, BEST/Gallium, detector systematics, validation as allowed scope.",Used as boundary rule for excluding MHLM/AOIA material.
LSC 6.3.0 Unified BEST-2 Continuation,https://doi.org/10.5281/zenodo.20037838,Zenodo record + PDF + Markdown,canonical,"Current pre-BEST-2 continuation: trace/traceless anisotropy split, frozen validation protocol.",Current strongest source for freeze-state language.
LSC 6.2.0 preprint,https://doi.org/10.5281/zenodo.19879320,Zenodo software/preprint package,canonical lineage,"Detector-frame tensor ansatz, energy reconstruction, phenomenological phase correction.",Metadata version v6.2.0-preprint.
LSC Framework v1.2.0,https://doi.org/10.5281/zenodo.19843361,Zenodo preprint + computational release,supplement,Computational modeling and reproducibility package.,"6.3.0 treats this as supplementary computational release, not separate theory line."
Zenodo upload 19769179,https://zenodo.org/uploads/19769179,Zenodo upload endpoint,inaccessible,Not extracted.,Zenodo API returned 404 for /api/records/19769179 during reconstruction.
LLM-MHLM-Main-Project/LSC,https://github.com/luciferprosun/LLM-MHLM-Main-Project,historical repo subtree,historical,"Historical LSC versions 4.2, 5.0, 5.5, 6.0, 6.2.x, datasets.",Only LSC subtree used. MHLM/MDLH/AOIA material excluded from theory body.
Gallium core dataset,local:LSC-Research/LSC_core/datasets/gallium-core,data/report/code,supplement,"BEST, GALLEX, SAGE source lines, ratios, geometry and missing-data notes.",Starter dataset; not complete enough for official likelihood reproduction.
LSC 6.2.1 Codex validation package,local:LSC-Research/LSC_core/validation/LSC-6.2.1-codex,validation report/code,supplement,"Anchor fits, leave-one-out warning, validation residuals.",Important caution against exact anchor-fit overclaiming.
MHLM/MDLH/AOIA and AI-safety material,local:LLM-MHLM-Main-Project/MHLM and other non-LSC paths,excluded material,excluded,None integrated into scientific core.,Mentioned only in exclusion appendix as out of scope.
